EmpID ,OrderNum,OrderDate,OrderType,Quantity, Price , Discount , Order Total 
900015476,1100948,9/3/2017,Retail,1, $44.95 , 0 , $44.95 
900015476,1101096,9/24/2017,Wholesale,10, $4.99 , $1.00 , $48.90 
900015476,1101138,10/1/2017,Wholesale,4, $250.00 , $50.00 , $950.00 
900015476,1101158,10/3/2017,Retail,1, $250.00 , 0 , $250.00 
900015476,1101181,10/9/2017,Retail,1, $13.99 , 0 , $13.99 
900015476,1101354,10/31/2017,Wholesale,8, $49.00 , $9.80 , $382.20 
900015476,1101475,11/18/2017,Retail,1, $599.00 , 0 , $599.00 
900015476,1101495,11/22/2017,Wholesale,13, $899.00 , $179.80 ," $11,507.20 "
900015476,1101685,12/18/2017,Retail,1, $119.00 , 0 , $119.00 
900015476,1101743,12/27/2017,Wholesale,6, $179.00 , $35.80 ," $1,038.20 "
900015476,1101825,1/8/2018,Wholesale,4, $189.00 , $37.80 , $718.20 
900015476,1101839,1/9/2018,Wholesale,8, $29.99 , $6.00 , $233.92 
900015476,1101902,1/19/2018,Wholesale,5, $7.99 , $1.60 , $38.35 
900015476,1101926,1/22/2018,Wholesale,6, $29.99 , $6.00 , $173.94 
900015476,1101945,1/25/2018,Retail,1, $19.99 , 0 , $19.99 
900015476,1102052,2/12/2018,Wholesale,6, $4.99 , $1.00 , $28.94 
900015476,1102085,2/18/2018,Wholesale,9, $24.99 , $5.00 , $219.91 
900015476,1102227,3/9/2018,Wholesale,15, $13.99 , $2.80 , $207.05 
900015476,1102305,3/21/2018,Wholesale,9, $37.99 , $7.60 , $334.31 
900015476,1102306,3/21/2018,Wholesale,6, $16.99 , $3.40 , $98.54 
900015476,1102439,4/11/2018,Wholesale,9, $8.99 , $1.80 , $79.11 
900015476,1102469,4/15/2018,Retail,2, $699.00 , 0 ," $1,398.00 "
900015476,1102578,5/2/2018,Wholesale,5, $450.00 , $90.00 ," $2,160.00 "
900015476,1102680,5/15/2018,Retail,1, $8.99 , 0 , $8.99 
900015476,1102697,5/18/2018,Retail,1, $12.00 , 0 , $12.00 
900015476,1102745,5/25/2018,Wholesale,9, $12.00 , $2.40 , $105.60 
900015476,1103009,7/1/2018,Wholesale,8, $189.00 , $37.80 ," $1,474.20 "
900015476,1103056,7/7/2018,Retail,1, $49.95 , 0 , $49.95 
900015476,1103206,7/26/2018,Retail,1, $189.00 , 0 , $189.00 
900015476,1103219,7/27/2018,Wholesale,53, $69.00 , $13.80 ," $3,643.20 "
900015476,1103275,8/3/2018,Retail,1, $15.50 , 0 , $15.50 
900015476,1103291,8/5/2018,Retail,1, $883.00 , 0 , $883.00 
900015476,1103289,8/5/2018,Retail,1, $16.99 , 0 , $16.99 
900015476,1103301,8/7/2018,Retail,1, $13.99 , 0 , $13.99 
900015476,1103413,8/22/2018,Retail,1, $16.75 , 0 , $16.75 
900015476,1103565,9/12/2018,Wholesale,6, $16.99 , $3.40 , $98.54 
900015476,1103780,10/16/2018,Wholesale,8, $15.50 , $3.10 , $120.90 
900015476,1103787,10/17/2018,Retail,1, $44.95 , 0 , $44.95 
900015476,1103799,10/18/2018,Wholesale,78, $44.95 , $8.99 ," $3,497.11 "
900015476,1103887,11/2/2018,Wholesale,6, $599.00 , $119.80 ," $3,474.20 "
900015476,1104015,11/20/2018,Retail,1, $37.99 , 0 , $37.99 
900015476,1104089,12/4/2018,Retail,1, $599.00 , 0 , $599.00 
900015476,1104242,12/23/2018,Retail,1, $222.00 , 0 , $222.00 
900015476,1104323,1/2/2019,Wholesale,5, $499.00 , $99.80 ," $2,395.20 "
900015476,1104380,1/11/2019,Wholesale,8, $4.99 , $1.00 , $38.92 
900015476,1104420,1/19/2019,Retail,4, $19.99 , 0 , $79.96 
900015476,1104433,1/21/2019,Retail,1, $24.99 , 0 , $24.99 
900015476,1104457,1/26/2019,Retail,1, $49.00 , 0 , $49.00 
900015476,1104578,2/16/2019,Wholesale,8, $225.00 , $45.00 ," $1,755.00 "
900015476,1104768,3/13/2019,Retail,1, $179.00 , 0 , $179.00 
900015476,1104819,3/20/2019,Wholesale,7, $17.50 , $3.50 , $119.00 
900015476,1104837,3/23/2019,Wholesale,13, $89.00 , $17.80 ," $1,139.20 "
900015476,1104910,4/2/2019,Wholesale,93, $455.00 , $91.00 ," $42,224.00 "
900015476,1104934,4/5/2019,Retail,1, $395.00 , 0 , $395.00 
900015476,1105086,4/27/2019,Wholesale,9, $4.99 , $1.00 , $43.91 
900015476,1105153,5/8/2019,Wholesale,40, $883.00 , $176.60 ," $35,143.40 "
900015476,1105307,5/31/2019,Wholesale,5, $12.99 , $2.60 , $62.35 
900015476,1105330,6/3/2019,Retail,1, $24.99 , 0 , $24.99 
900015476,1105362,6/8/2019,Retail,1, $24.95 , 0 , $24.95 
900015476,1105372,6/9/2019,Retail,1, $12.00 , 0 , $12.00 
900015476,1105403,6/13/2019,Wholesale,5, $8.99 , $1.80 , $43.15 
900015476,1105409,6/14/2019,Retail,1, $36.99 , 0 , $36.99 
900015476,1105415,6/15/2019,Wholesale,8, $9.99 , $2.00 , $77.92 
900015476,1105534,7/3/2019,Wholesale,8, $37.99 , $7.60 , $296.32 
900015476,1105626,7/17/2019,Wholesale,5, $42.99 , $8.60 , $206.35 
900015476,1105640,7/19/2019,Wholesale,12, $89.00 , $17.80 ," $1,050.20 "
900015476,1105701,7/30/2019,Wholesale,11, $20.95 , $4.19 , $226.26 
900015476,1105770,8/9/2019,Wholesale,65, $250.00 , $50.00 ," $16,200.00 "
900015476,1105783,8/11/2019,Wholesale,101, $10.99 , $2.20 ," $1,107.79 "
900015476,1105866,8/23/2019,Retail,1, $4.99 , 0 , $4.99 
900015476,1105890,8/27/2019,Wholesale,10, $11.99 , $2.40 , $117.50 
900019884,1100988,9/9/2017,Wholesale,11, $19.99 , $4.00 , $215.89 
900019884,1100994,9/10/2017,Wholesale,8, $450.00 , $90.00 ," $3,510.00 "
900019884,1101070,9/20/2017,Wholesale,8, $7.99 , $1.60 , $62.32 
900019884,1101101,9/25/2017,Wholesale,10, $42.99 , $8.60 , $421.30 
900019884,1101167,10/5/2017,Retail,1, $24.95 , 0 , $24.95 
900019884,1101311,10/25/2017,Wholesale,8, $699.00 , $139.80 ," $5,452.20 "
900019884,1101388,11/4/2017,Retail,1, $23.99 , 0 , $23.99 
900019884,1101575,12/3/2017,Wholesale,6, $10.99 , $2.20 , $63.74 
900019884,1101622,12/8/2017,Wholesale,60, $214.00 , $42.80 ," $12,797.20 "
900019884,1101697,12/21/2017,Retail,1, $24.99 , 0 , $24.99 
900019884,1101798,1/4/2018,Wholesale,11, $19.50 , $3.90 , $210.60 
900019884,1101932,1/23/2018,Wholesale,10, $190.00 , $38.00 ," $1,862.00 "
900019884,1102041,2/10/2018,Wholesale,8, $179.00 , $35.80 ," $1,396.20 "
900019884,1102152,2/28/2018,Retail,2, $225.00 , 0 , $450.00 
900019884,1102188,3/5/2018,Wholesale,10, $29.99 , $6.00 , $293.90 
900019884,1102216,3/9/2018,Retail,2, $189.00 , 0 , $378.00 
900019884,1102238,3/11/2018,Retail,1, $7.99 , 0 , $7.99 
900019884,1102313,3/22/2018,Wholesale,8, $69.00 , $13.80 , $538.20 
900019884,1102437,4/11/2018,Retail,1, $899.00 , 0 , $899.00 
900019884,1102460,4/14/2018,Wholesale,9, $44.95 , $8.99 , $395.56 
900019884,1102589,5/4/2018,Wholesale,7, $37.99 , $7.60 , $258.33 
900019884,1102666,5/14/2018,Wholesale,6, $4.99 , $1.00 , $28.94 
900019884,1102698,5/18/2018,Wholesale,53, $8.99 , $1.80 , $474.67 
900019884,1102692,5/18/2018,Retail,2, $167.00 , 0 , $334.00 
900019884,1102713,5/21/2018,Retail,2, $899.00 , 0 ," $1,798.00 "
900019884,1102847,6/11/2018,Retail,1, $12.00 , 0 , $12.00 
900019884,1102894,6/17/2018,Retail,1, $23.99 , 0 , $23.99 
